VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,15928552.0,2413.0,2865.0,[kJ]
Heat rate - burner,6565500.0,995.0,2865.0,[kJ]
Heat rate - specimen comb.,9363053.0,1419.0,1597.0,[kJ]
Heat rate - vent.,-9598041.0,-1454.0,1675.0,[kJ]
Heat rate - lining,-5709401.0,-865.0,1348.0,[kJ]
Heat rate - specimen,-430201.0,-65.0,118.0,[kJ]
Heat rate - intern. gas,-43824.0,-7.0,1907.0,[kJ]
Heat rate - window,-147086.0,-22.0,33.0,[kJ]
,,,,
Heat flux - instantaneous,3373119.0,511.0,841.0,[kW/m2]
Heat flux - average,1969600.0,298.0,511.0,[kW/m2]
,,,,
Mass rate - fuel,141.0,0.0,0.0,[kg]
Mass rate - specimen,493.0,0.0,0.0,[kg]
Mass rate - ventilation in,8952.0,1.0,2.0,[kg]
Mass rate - ventilation ou,9679.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,892.0,1041.0,[deg C]
Temperature - lining,-,264.0,469.0,[deg C]
Temperature - specimen,-,436.0,756.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,101.7,-,-,[min]
,,,,
Length - charring,74.0,0.0,0.0,[mm]
Content - O2,536581.0,81.0,210.0,[‰ vol.]
