VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,13089650.0,2424.0,2865.0,[kJ]
Heat rate - burner,5642975.0,1045.0,2865.0,[kJ]
Heat rate - specimen comb.,7446675.0,1379.0,1596.0,[kJ]
Heat rate - vent.,-7630845.0,-1413.0,1605.0,[kJ]
Heat rate - lining,-4961978.0,-919.0,1348.0,[kJ]
Heat rate - specimen,-344996.0,-64.0,118.0,[kJ]
Heat rate - intern. gas,-43028.0,-8.0,1907.0,[kJ]
Heat rate - window,-108803.0,-20.0,30.0,[kJ]
,,,,
Heat flux - instantaneous,2419175.0,448.0,747.0,[kW/m2]
Heat flux - average,1393533.0,258.0,448.0,[kW/m2]
,,,,
Mass rate - fuel,121.0,0.0,0.0,[kg]
Mass rate - specimen,392.0,0.0,0.0,[kg]
Mass rate - ventilation in,7422.0,1.0,2.0,[kg]
Mass rate - ventilation ou,8015.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,862.0,1011.0,[deg C]
Temperature - lining,-,223.0,425.0,[deg C]
Temperature - specimen,-,371.0,702.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,81.7,-,-,[min]
,,,,
Length - charring,60.0,0.0,0.0,[mm]
Content - O2,443680.0,82.0,210.0,[‰ vol.]
