VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,10275612.0,2446.0,2865.0,[kJ]
Heat rate - burner,4737605.0,1128.0,2865.0,[kJ]
Heat rate - specimen comb.,5538007.0,1319.0,1583.0,[kJ]
Heat rate - vent.,-5744114.0,-1368.0,1540.0,[kJ]
Heat rate - lining,-4148163.0,-988.0,1348.0,[kJ]
Heat rate - specimen,-266999.0,-64.0,118.0,[kJ]
Heat rate - intern. gas,-42011.0,-10.0,1907.0,[kJ]
Heat rate - window,-74324.0,-18.0,27.0,[kJ]
,,,,
Heat flux - instantaneous,1585879.0,378.0,640.0,[kW/m2]
Heat flux - average,897342.0,214.0,378.0,[kW/m2]
,,,,
Mass rate - fuel,102.0,0.0,0.0,[kg]
Mass rate - specimen,291.0,0.0,0.0,[kg]
Mass rate - ventilation in,5897.0,1.0,2.0,[kg]
Mass rate - ventilation ou,6358.0,2.0,26.0,[kg]
,,,,
Temperature - furnace,-,825.0,973.0,[deg C]
Temperature - lining,-,174.0,361.0,[deg C]
Temperature - specimen,-,286.0,635.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,61.7,-,-,[min]
,,,,
Length - charring,46.0,0.0,0.0,[mm]
Content - O2,350138.0,83.0,210.0,[‰ vol.]
