VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,4511072.0,2506.0,2865.0,[kJ]
Heat rate - burner,2684940.0,1491.0,2865.0,[kJ]
Heat rate - specimen comb.,1826132.0,1014.0,1484.0,[kJ]
Heat rate - vent.,-2206198.0,-1226.0,1430.0,[kJ]
Heat rate - lining,-2115963.0,-1175.0,1348.0,[kJ]
Heat rate - specimen,-130600.0,-73.0,118.0,[kJ]
Heat rate - intern. gas,-38394.0,-21.0,1907.0,[kJ]
Heat rate - window,-19918.0,-11.0,18.0,[kJ]
,,,,
Heat flux - instantaneous,361095.0,201.0,362.0,[kW/m2]
Heat flux - average,190842.0,106.0,201.0,[kW/m2]
,,,,
Mass rate - fuel,58.0,0.0,0.0,[kg]
Mass rate - specimen,96.0,0.0,0.0,[kg]
Mass rate - ventilation in,2762.0,2.0,2.0,[kg]
Mass rate - ventilation ou,2964.0,2.0,26.0,[kg]
,,,,
Temperature - furnace,-,700.0,847.0,[deg C]
Temperature - lining,-,58.0,138.0,[deg C]
Temperature - specimen,-,55.0,106.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,21.7,-,-,[min]
,,,,
Length - charring,18.0,0.0,0.0,[mm]
Content - O2,162962.0,91.0,210.0,[‰ vol.]
