VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,5994956.0,2498.0,2865.0,[kJ]
Heat rate - burner,3265461.0,1360.0,2865.0,[kJ]
Heat rate - specimen comb.,2729495.0,1137.0,1525.0,[kJ]
Heat rate - vent.,-3059634.0,-1275.0,1443.0,[kJ]
Heat rate - lining,-2697648.0,-1124.0,1348.0,[kJ]
Heat rate - specimen,-166687.0,-69.0,118.0,[kJ]
Heat rate - intern. gas,-39656.0,-17.0,1907.0,[kJ]
Heat rate - window,-31331.0,-13.0,20.0,[kJ]
,,,,
Heat flux - instantaneous,603100.0,251.0,443.0,[kW/m2]
Heat flux - average,326698.0,136.0,251.0,[kW/m2]
,,,,
Mass rate - fuel,70.0,0.0,0.0,[kg]
Mass rate - specimen,144.0,0.0,0.0,[kg]
Mass rate - ventilation in,3570.0,1.0,2.0,[kg]
Mass rate - ventilation ou,3835.0,2.0,26.0,[kg]
,,,,
Temperature - furnace,-,743.0,890.0,[deg C]
Temperature - lining,-,87.0,207.0,[deg C]
Temperature - specimen,-,85.0,313.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,31.7,-,-,[min]
,,,,
Length - charring,25.0,0.0,0.0,[mm]
Content - O2,209590.0,87.0,210.0,[‰ vol.]
