VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,17842402.0,2478.0,3018.0,[kJ]
Heat rate - burner,1506021.0,209.0,3018.0,[kJ]
Heat rate - specimen comb.,16336382.0,2269.0,2560.0,[kJ]
Heat rate - vent.,-10903716.0,-1514.0,1810.0,[kJ]
Heat rate - lining,-5880797.0,-817.0,1334.0,[kJ]
Heat rate - specimen,-845003.0,-117.0,205.0,[kJ]
Heat rate - intern. gas,-30585.0,-4.0,1271.0,[kJ]
Heat rate - window,-188712.0,-26.0,41.0,[kJ]
,,,,
Heat flux - instantaneous,4589453.0,637.0,1108.0,[kW/m2]
Heat flux - average,2509992.0,349.0,637.0,[kW/m2]
,,,,
Mass rate - fuel,32.0,0.0,0.0,[kg]
Mass rate - specimen,860.0,0.0,0.0,[kg]
Mass rate - ventilation in,9180.0,1.0,2.0,[kg]
Mass rate - ventilation ou,10361.0,1.0,18.0,[kg]
,,,,
Temperature - furnace,-,936.0,1114.0,[deg C]
Temperature - lining,-,297.0,518.0,[deg C]
Temperature - specimen,-,527.0,888.0,[deg C]
,,,,
Time - temperature deviation,87.2,-,-,[min]
Time - ventilation controlled,112.5,-,-,[min]
,,,,
Length - charring,81.0,0.0,0.0,[mm]
Content - O2,538868.0,75.0,210.0,[‰ vol.]
