VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,10621540.0,1475.0,2121.0,[kJ]
Heat rate - burner,6354712.0,883.0,2121.0,[kJ]
Heat rate - specimen comb.,4266828.0,593.0,1245.0,[kJ]
Heat rate - vent.,-4162079.0,-578.0,681.0,[kJ]
Heat rate - lining,-5599088.0,-778.0,1334.0,[kJ]
Heat rate - specimen,-663359.0,-92.0,176.0,[kJ]
Heat rate - intern. gas,-29962.0,-4.0,1271.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,137.0,0.0,0.0,[kg]
Mass rate - specimen,554.0,0.0,0.0,[kg]
Mass rate - ventilation in,3717.0,1.0,1.0,[kg]
Mass rate - ventilation ou,4066.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,289.0,492.0,[deg C]
Temperature - specimen,-,478.0,794.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,109.8,-,-,[min]
,,,,
Length - charring,60.0,0.0,0.0,[mm]
Content - O2,40695.0,6.0,210.0,[‰ vol.]
