time,hr_burner_combustion
207.5,2445119.759915
208,2446857.127221
208.5,2448589.748655
209,2450317.640821
209.5,2452040.820212
210,2453759.303228
210.5,2455473.106184
211,2457182.245314
211.5,2458886.736766
212,2460586.59661
212.5,2462281.84083
213,2463972.485332
213.5,2465658.545942
214,2467340.038405
214.5,2469016.978387
215,2470689.381476
215.5,2472357.263181
216,2474020.638936
216.5,2475679.524095
217,2477333.933937
217.5,2478983.883666
218,2480629.388411
218.5,2482270.463223
219,2483907.123083
219.5,2485539.382895
220,2487167.257492
220.5,2488790.761634
221,2490409.910008
221.5,2492024.717229
222,2493635.197843
222.5,2495241.366324
223,2496843.237075
223.5,2498440.82443
224,2500034.142655
224.5,2501623.205947
225,2503208.028432
225.5,2504788.624173
226,2506365.00716
226.5,2507937.191322
227,2509505.190518
227.5,2511069.018542
228,2512628.689122
228.5,2514184.215923
229,2515735.612542
229.5,2517282.892515
230,2518826.069313
230.5,2520365.156344
231,2521900.166953
231.5,2523431.114422
232,2524958.011973
232.5,2526480.872764
233,2527999.709893
233.5,2529514.536397
234,2531025.365254
234.5,2532532.20938
235,2534035.081633
235.5,2535533.99481
236,2537028.961652
236.5,2538519.994839
237,2540007.106994
237.5,2541490.310683
238,2542969.618415
238.5,2544445.042641
239,2545916.595755
239.5,2547384.290098
240,2548848.137952
240.5,2550308.151545
241,2551764.343049
241.5,2553216.724584
242,2554665.308214
242.5,2556110.105947
243,2557551.129741
243.5,2558988.391499
244,2560421.903072
244.5,2561851.676256
245,2563277.722798
245.5,2564700.054392
246,2566118.682679
246.5,2567533.61925
247,2568944.875646
247.5,2570352.463355
248,2571756.393818
248.5,2573156.678423
249,2574553.328511
249.5,2575946.355371
250,2577335.770245
250.5,2578721.584325
251,2580103.808757
251.5,2581482.454637
252,2582857.533012
252.5,2584229.054884
253,2585597.031207
253.5,2586961.472888
254,2588322.390788
254.5,2589679.79572
255,2591033.698453
255.5,2592384.109708
256,2593731.040164
256.5,2595074.500452
257,2596414.501158
257.5,2597751.052825
258,2599084.165951
258.5,2600413.85099
259,2601740.118352
259.5,2603062.978403
260,2604382.441468
260.5,2605698.517825
261,2607011.217712
261.5,2608320.551326
262,2609626.528817
262.5,2610929.160298
263,2612228.455838
263.5,2613524.425463
264,2614817.079161
264.5,2616106.426876
265,2617392.478515
265.5,2618675.243939
266,2619954.732975
266.5,2621230.955405
267,2622503.920974
267.5,2623773.639386
268,2625040.120306
268.5,2626303.373362
269,2627563.40814
269.5,2628820.234188
270,2630073.861018
270.5,2631324.298102
271,2632571.554873
271.5,2633815.640729
272,2635056.565027
272.5,2636294.337091
273,2637528.966204
273.5,2638760.461614
274,2639988.832532
274.5,2641214.088134
275,2642436.237557
275.5,2643655.289904
276,2644871.254241
276.5,2646084.1396
277,2647293.954976
277.5,2648500.709329
278,2649704.411585
278.5,2650905.070634
279,2652102.695332
279.5,2653297.294501
280,2654488.876928
280.5,2655677.451366
281,2656863.026535
281.5,2658045.611121
282,2659225.213775
282.5,2660401.843116
283,2661575.507732
283.5,2662746.216174
284,2663913.976963
284.5,2665078.798587
285,2666240.689501
285.5,2667399.658128
286,2668555.71286
286.5,2669708.862056
287,2670859.114043
287.5,2672006.477118
288,2673150.959546
288.5,2674292.569561
289,2675431.315364
289.5,2676567.205129
290,2677700.246997
290.5,2678830.449078
291,2679957.816288
291.5,2681082.334358
292,2682204.025217
292.5,2683322.905023
293,2684438.983538
293.5,2685552.269092
294,2686662.769679
294.5,2687770.493194
295,2688875.44749
295.5,2689977.640387
296,2691077.079675
296.5,2692173.773115
297,2693267.728441
297.5,2694358.953359
298,2695447.455544
298.5,2696533.242645
299,2697616.322284
299.5,2698696.702054
300,2699774.38952
300.5,2700849.392221
301,2701921.717667
301.5,2702991.373343
302,2704058.366706
302.5,2705122.705185
303,2706184.396185
303.5,2707243.447081
304,2708299.865225
304.5,2709353.657939
305,2710404.832523
305.5,2711453.396248
306,2712499.35636
306.5,2713542.72008
307,2714583.494602
307.5,2715621.687094
308,2716657.304702
308.5,2717690.354542
309,2718720.84371
309.5,2719748.779272
310,2720774.168274
310.5,2721797.017733
311,2722817.334643
311.5,2723835.125975
312,2724850.398673
312.5,2725863.15966
313,2726873.415831
313.5,2727881.174059
314,2728886.441195
314.5,2729889.224063
315,2730889.529464
315.5,2731887.364178
316,2732882.734958
316.5,2733875.648536
317,2734866.11162
317.5,2735854.130896
318,2736839.713025
318.5,2737822.864647
319,2738803.592379
319.5,2739781.902815
320,2740757.802525
320.5,2741731.298059
321,2742702.395945
321.5,2743671.102685
322,2744637.424764
322.5,2745601.36864
323,2746562.940754
323.5,2747522.147522
324,2748478.995338
324.5,2749433.490578
325,2750385.639592
325.5,2751335.448712
326,2752282.924247
326.5,2753228.072485
327,2754170.899695
327.5,2755111.412123
