Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.01,130.0,0.75,1.46593378064e+11,
0.01,130.0,0.5,1.3494589697e+11,
0.01,130.0,0.25,1.17181213437e+11,
0.02,70.0,2.0,41307838453.7,
0.02,70.0,1.75,38578378252.4,
0.02,70.0,1.5,35837181724.9,
0.02,70.0,1.25,33056297949.0,
0.02,70.0,1.0,30190525349.5,
0.02,70.0,0.75,27159779679.8,
0.02,70.0,0.5,23791528920.4,
0.02,70.0,0.25,19548537125.7,
0.01,150.0,2.0,2.70190156384e+11,
0.01,150.0,1.75,2.62473746154e+11,
0.01,150.0,1.5,2.54119487168e+11,
0.01,150.0,1.25,2.44864903014e+11,
0.01,150.0,1.0,2.34276508906e+11,
0.01,150.0,0.75,2.2155733348e+11,
0.01,150.0,0.5,2.04950664789e+11,
0.01,150.0,0.25,1.78925548975e+11,
0.02,150.0,2.0,2.67720103939e+11,
0.02,150.0,1.75,2.60332780781e+11,
0.02,150.0,1.5,2.52308687545e+11,
0.02,150.0,1.25,2.43386153778e+11,
0.02,150.0,1.0,2.33133372441e+11,
0.02,150.0,0.75,2.20753240361e+11,
0.02,150.0,0.5,2.04485412803e+11,
0.02,150.0,0.25,1.78790580944e+11,
0.03,70.0,2.0,40158710993.7,
0.03,70.0,1.75,37586512886.2,
0.03,70.0,1.5,35001711069.6,
0.03,70.0,1.25,32376491205.8,
0.03,70.0,1.0,29665998614.0,
0.03,70.0,0.75,26790563563.2,
0.03,70.0,0.5,23576824032.9,
0.03,70.0,0.25,19485558305.2,
0.02,120.0,2.0,1.45635656639e+11,
0.02,120.0,1.75,1.40691662468e+11,
0.02,120.0,1.5,1.35449448465e+11,
0.02,120.0,1.25,1.29772337985e+11,
0.02,120.0,1.0,1.23436455325e+11,
0.02,120.0,0.75,1.16029966609e+11,
0.02,120.0,0.5,1.06648955953e+11,
0.02,120.0,0.25,92462733474.2,
0.02,110.0,2.0,1.16028482416e+11,
0.02,110.0,1.75,1.11689729661e+11,
0.02,110.0,1.5,1.07134592141e+11,
0.02,110.0,1.25,1.02257136914e+11,
0.02,110.0,1.0,96884079618.4,
0.02,110.0,0.75,90697366324.3,
0.02,110.0,0.5,83000778390.6,
0.02,110.0,0.25,71618225014.7,
0.02,100.0,2.0,91233188558.2,
