VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,8455769.0,1174.0,1398.0,[kJ]
Heat rate - burner,8455769.0,1174.0,1398.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-4594105.0,-638.0,732.0,[kJ]
Heat rate - lining,-3665109.0,-509.0,880.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-29503.0,-4.0,1271.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,182.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,4469.0,1.0,1.0,[kg]
Mass rate - ventilation ou,4525.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,122.0,245.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,489747.0,68.0,210.0,[‰ vol.]
