VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,12545942.0,1742.0,2156.0,[kJ]
Heat rate - burner,12545942.0,1742.0,2156.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-6125388.0,-851.0,934.0,[kJ]
Heat rate - lining,-6223881.0,-864.0,1389.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-29621.0,-4.0,1271.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,270.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,5935.0,1.0,1.0,[kg]
Mass rate - ventilation ou,5992.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,354.0,572.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,372946.0,52.0,210.0,[‰ vol.]
