VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,12997046.0,1805.0,2263.0,[kJ]
Heat rate - burner,12997046.0,1805.0,2263.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-6292519.0,-874.0,956.0,[kJ]
Heat rate - lining,-6507845.0,-904.0,1454.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-29630.0,-4.0,1271.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,280.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,6097.0,1.0,1.0,[kg]
Mass rate - ventilation ou,6153.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,383.0,606.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,363747.0,51.0,210.0,[‰ vol.]
