VARIABLE,TOT.,AVE.,PEAK,UNIT
Heat rate - overall,50904.0,7.0,20.0,[MJ]
Heat rate - burner,50904.0,7.0,20.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-20515.0,-3.0,5.0,[MJ]
Heat rate - lining,-29786.0,-4.0,7.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-433.0,-0.0,19.0,[MJ]
Heat rate - window,-169.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,1096.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,19678.0,3.0,7.0,[kg]
Mass rate - ventilation ou,20459.0,3.0,242.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,13671.0,2.0,21.0,[% vol.]
