VARIABLE,TOT.,AVE.,PEAK,UNIT
Heat rate - overall,31702.0,4.0,9.0,[MJ]
Heat rate - burner,31702.0,4.0,9.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-13310.0,-2.0,2.0,[MJ]
Heat rate - lining,-18019.0,-3.0,4.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-204.0,-0.0,9.0,[MJ]
Heat rate - window,-169.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,682.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,12798.0,2.0,4.0,[kg]
Mass rate - ventilation ou,13168.0,2.0,114.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,19029.0,3.0,21.0,[% vol.]
