VARIABLE,TOT.,AVE.,PEAK,UNIT
Heat rate - overall,17378.0,2.0,3.0,[MJ]
Heat rate - burner,17378.0,2.0,3.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-7941.0,-1.0,1.0,[MJ]
Heat rate - lining,-9193.0,-1.0,2.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-74.0,-0.0,3.0,[MJ]
Heat rate - window,-169.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,374.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,7666.0,1.0,1.0,[kg]
Mass rate - ventilation ou,7803.0,1.0,42.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,29588.0,4.0,21.0,[% vol.]
