VARIABLE,TOT.,AVE.,PEAK,UNIT
Heat rate - overall,12027.0,2.0,2.0,[MJ]
Heat rate - burner,12027.0,2.0,2.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-5938.0,-1.0,1.0,[MJ]
Heat rate - lining,-5884.0,-1.0,1.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-38.0,-0.0,2.0,[MJ]
Heat rate - window,-167.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,259.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,5749.0,1.0,1.0,[kg]
Mass rate - ventilation ou,5820.0,1.0,21.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,38504.0,5.0,21.0,[% vol.]
