VARIABLE,TOT.,AVE.,PEAK,UNIT
Heat rate - overall,40690.0,6.0,14.0,[MJ]
Heat rate - burner,40690.0,6.0,14.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-16682.0,-2.0,3.0,[MJ]
Heat rate - lining,-23535.0,-3.0,5.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-304.0,-0.0,13.0,[MJ]
Heat rate - window,-169.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,876.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,16018.0,2.0,5.0,[kg]
Mass rate - ventilation ou,16569.0,2.0,170.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,15924.0,2.0,21.0,[% vol.]
