VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,16540499.0,2297.0,2844.0,[kJ]
Heat rate - burner,4592907.0,638.0,2843.0,[kJ]
Heat rate - specimen comb.,11947593.0,1659.0,1847.0,[kJ]
Heat rate - vent.,-9825919.0,-1365.0,1567.0,[kJ]
Heat rate - lining,-5932749.0,-824.0,1318.0,[kJ]
Heat rate - specimen,-570193.0,-79.0,142.0,[kJ]
Heat rate - intern. gas,-44238.0,-6.0,1907.0,[kJ]
Heat rate - window,-167402.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,99.0,0.0,0.0,[kg]
Mass rate - specimen,629.0,0.0,0.0,[kg]
Mass rate - ventilation in,8846.0,1.0,2.0,[kg]
Mass rate - ventilation ou,9750.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,79.0,0.0,0.0,[mm]
Content - O2,54788.0,8.0,21.0,[% vol.]
