VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,12705982.0,1765.0,2839.0,[kJ]
Heat rate - burner,1191737.0,166.0,2768.0,[kJ]
Heat rate - specimen comb.,11514245.0,1599.0,2839.0,[kJ]
Heat rate - vent.,-6790309.0,-943.0,1751.0,[kJ]
Heat rate - lining,-4966268.0,-690.0,1403.0,[kJ]
Heat rate - specimen,-776338.0,-108.0,224.0,[kJ]
Heat rate - intern. gas,-48244.0,-7.0,1907.0,[kJ]
Heat rate - window,-139878.0,-19.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,3500836.0,486.0,1501.0,[kW/m2]
Heat flux - average,1659364.0,230.0,680.0,[kW/m2]
,,,,
Mass rate - fuel,26.0,0.0,0.0,[kg]
Mass rate - specimen,606.0,0.0,0.0,[kg]
Mass rate - ventilation in,5560.0,1.0,2.0,[kg]
Mass rate - ventilation ou,6435.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,588.0,1200.0,[deg C]
Temperature - lining,-,83.0,466.0,[deg C]
Temperature - specimen,-,261.0,989.0,[deg C]
,,,,
Time - temperature deviation,107.1,-,-,[min]
Time - ventilation controlled,77.3,-,-,[min]
,,,,
Length - charring,50.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
