VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,17012935.0,2363.0,2779.0,[kJ]
Heat rate - burner,1265217.0,176.0,2779.0,[kJ]
Heat rate - specimen comb.,15747719.0,2187.0,2684.0,[kJ]
Heat rate - vent.,-9635441.0,-1338.0,1734.0,[kJ]
Heat rate - lining,-6113266.0,-849.0,1362.0,[kJ]
Heat rate - specimen,-1013993.0,-141.0,219.0,[kJ]
Heat rate - intern. gas,-48201.0,-7.0,1907.0,[kJ]
Heat rate - window,-215530.0,-30.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,5520105.0,767.0,1502.0,[kW/m2]
Heat flux - average,2808462.0,390.0,784.0,[kW/m2]
,,,,
Mass rate - fuel,27.0,0.0,0.0,[kg]
Mass rate - specimen,829.0,0.0,0.0,[kg]
Mass rate - ventilation in,7494.0,1.0,2.0,[kg]
Mass rate - ventilation ou,8662.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,948.0,1200.0,[deg C]
Temperature - lining,-,284.0,541.0,[deg C]
Temperature - specimen,-,553.0,990.0,[deg C]
,,,,
Time - temperature deviation,100.0,-,-,[min]
Time - ventilation controlled,109.1,-,-,[min]
,,,,
Length - charring,70.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
