VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,950639.0,132.0,16505.0,[kJ]
Heat rate - burner,909278.0,126.0,2262.0,[kJ]
Heat rate - specimen comb.,41361.0,6.0,16505.0,[kJ]
Heat rate - vent.,-475906.0,-66.0,12150.0,[kJ]
Heat rate - lining,0.0,0.0,0.0,[kJ]
Heat rate - specimen,-426125.0,-59.0,2641.0,[kJ]
Heat rate - intern. gas,-48643.0,-7.0,13558.0,[kJ]
Heat rate - window,0.0,0.0,0.0,[kJ]
,,,,
Heat flux - instantaneous,71870.0,10.0,1532.0,[kW/m2]
Heat flux - average,14424.0,2.0,67.0,[kW/m2]
,,,,
Mass rate - fuel,20.0,0.0,0.0,[kg]
Mass rate - specimen,2.0,0.0,1.0,[kg]
Mass rate - ventilation in,826.0,0.0,2.0,[kg]
Mass rate - ventilation ou,909.0,0.0,26.0,[kg]
,,,,
Temperature - furnace,-,-218.0,1206.0,[deg C]
Temperature - lining,-,-252.0,27.0,[deg C]
Temperature - specimen,-,-252.0,30.0,[deg C]
,,,,
Time - temperature deviation,111.7,-,-,[min]
Time - ventilation controlled,0.1,-,-,[min]
,,,,
Length - charring,5.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[% vol.]
