VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18389911.0,2554.0,2867.0,[kJ]
Heat rate - burner,7394927.0,1027.0,2866.0,[kJ]
Heat rate - specimen comb.,10994983.0,1527.0,1695.0,[kJ]
Heat rate - vent.,-12226900.0,-1698.0,2022.0,[kJ]
Heat rate - lining,-5513255.0,-766.0,1225.0,[kJ]
Heat rate - specimen,-453195.0,-63.0,112.0,[kJ]
Heat rate - intern. gas,-29509.0,-4.0,1233.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285081.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,159.0,0.0,0.0,[kg]
Mass rate - specimen,579.0,0.0,0.0,[kg]
Mass rate - ventilation in,11289.0,2.0,2.0,[kg]
Mass rate - ventilation ou,12103.0,2.0,11.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.8,-,-,[min]
,,,,
Length - charring,91.0,0.0,0.0,[mm]
Content - O2,693123.0,96.0,210.0,[‰ vol.]
