VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18455300.0,2563.0,2867.0,[kJ]
Heat rate - burner,7591696.0,1054.0,2866.0,[kJ]
Heat rate - specimen comb.,10863604.0,1509.0,1673.0,[kJ]
Heat rate - vent.,-12290860.0,-1707.0,2035.0,[kJ]
Heat rate - lining,-5514620.0,-766.0,1225.0,[kJ]
Heat rate - specimen,-453332.0,-63.0,112.0,[kJ]
Heat rate - intern. gas,-29436.0,-4.0,1252.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285100.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,163.0,0.0,0.0,[kg]
Mass rate - specimen,572.0,0.0,0.0,[kg]
Mass rate - ventilation in,11360.0,2.0,2.0,[kg]
Mass rate - ventilation ou,12165.0,2.0,14.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.8,-,-,[min]
,,,,
Length - charring,90.0,0.0,0.0,[mm]
Content - O2,683214.0,95.0,210.0,[‰ vol.]
