VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18044072.0,2505.0,2851.0,[kJ]
Heat rate - burner,5738650.0,797.0,2847.0,[kJ]
Heat rate - specimen comb.,12305422.0,1709.0,1915.0,[kJ]
Heat rate - vent.,-11729189.0,-1629.0,2022.0,[kJ]
Heat rate - lining,-5496877.0,-763.0,1218.0,[kJ]
Heat rate - specimen,-620621.0,-86.0,277.0,[kJ]
Heat rate - intern. gas,-30334.0,-4.0,1054.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2284859.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,124.0,0.0,0.0,[kg]
Mass rate - specimen,648.0,0.0,0.0,[kg]
Mass rate - ventilation in,10696.0,1.0,2.0,[kg]
Mass rate - ventilation ou,11600.0,2.0,6.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,422.0,643.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.9,-,-,[min]
,,,,
Length - charring,101.0,0.0,0.0,[mm]
Content - O2,791082.0,110.0,210.0,[‰ vol.]
