VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18141837.0,2519.0,2864.0,[kJ]
Heat rate - burner,6649025.0,923.0,2862.0,[kJ]
Heat rate - specimen comb.,11492811.0,1596.0,1779.0,[kJ]
Heat rate - vent.,-11984628.0,-1664.0,1971.0,[kJ]
Heat rate - lining,-5507794.0,-765.0,1223.0,[kJ]
Heat rate - specimen,-452569.0,-63.0,112.0,[kJ]
Heat rate - intern. gas,-29793.0,-4.0,1165.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285007.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,143.0,0.0,0.0,[kg]
Mass rate - specimen,605.0,0.0,0.0,[kg]
Mass rate - ventilation in,11022.0,2.0,2.0,[kg]
Mass rate - ventilation ou,11870.0,2.0,8.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.8,-,-,[min]
,,,,
Length - charring,95.0,0.0,0.0,[mm]
Content - O2,730568.0,101.0,210.0,[‰ vol.]
