VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18031116.0,2504.0,3040.0,[kJ]
Heat rate - burner,7103279.0,987.0,3040.0,[kJ]
Heat rate - specimen comb.,10927837.0,1518.0,1694.0,[kJ]
Heat rate - vent.,-10681508.0,-1483.0,1704.0,[kJ]
Heat rate - lining,-6619182.0,-919.0,1471.0,[kJ]
Heat rate - specimen,-518357.0,-72.0,129.0,[kJ]
Heat rate - intern. gas,-44218.0,-6.0,1907.0,[kJ]
Heat rate - window,-167851.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,153.0,0.0,0.0,[kg]
Mass rate - specimen,575.0,0.0,0.0,[kg]
Mass rate - ventilation in,9745.0,1.0,2.0,[kg]
Mass rate - ventilation ou,10580.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,79.0,0.0,0.0,[mm]
Content - O2,551997.0,77.0,210.0,[‰ vol.]
