VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,152600018.0,21193.0,4067845.0,[kJ]
Heat rate - burner,123866338.0,17202.0,4067845.0,[kJ]
Heat rate - specimen comb.,28733680.0,3991.0,10979.0,[kJ]
Heat rate - vent.,-70772601.0,-9829.0,935853.0,[kJ]
Heat rate - lining,-2704395.0,-376.0,993.0,[kJ]
Heat rate - specimen,-1452489.0,-202.0,669.0,[kJ]
Heat rate - intern. gas,-94045098.0,-13061.0,3800870.0,[kJ]
Heat rate - window,-65825.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1572564.0,218.0,1502.0,[kW/m2]
Heat flux - average,640160.0,89.0,478.0,[kW/m2]
,,,,
Mass rate - fuel,2667.0,0.0,88.0,[kg]
Mass rate - specimen,1512.0,0.0,1.0,[kg]
Mass rate - ventilation in,47619.0,7.0,1458.0,[kg]
Mass rate - ventilation ou,209580.0,29.0,49622.0,[kg]
,,,,
Temperature - furnace,-,229.0,1200.0,[deg C]
Temperature - lining,-,-91.0,304.0,[deg C]
Temperature - specimen,-,-30.0,980.0,[deg C]
,,,,
Time - temperature deviation,89.3,-,-,[min]
Time - ventilation controlled,45.8,-,-,[min]
,,,,
Length - charring,42.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
