VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,93921295.0,13044.0,2464426.0,[kJ]
Heat rate - burner,71805611.0,9972.0,2464426.0,[kJ]
Heat rate - specimen comb.,22115683.0,3071.0,9613.0,[kJ]
Heat rate - vent.,-42995588.0,-5971.0,566971.0,[kJ]
Heat rate - lining,-2132677.0,-296.0,853.0,[kJ]
Heat rate - specimen,-1197862.0,-166.0,578.0,[kJ]
Heat rate - intern. gas,-56997750.0,-7916.0,2302667.0,[kJ]
Heat rate - window,-60002.0,-8.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1467628.0,204.0,1502.0,[kW/m2]
Heat flux - average,573020.0,80.0,494.0,[kW/m2]
,,,,
Mass rate - fuel,1546.0,0.0,53.0,[kg]
Mass rate - specimen,1164.0,0.0,1.0,[kg]
Mass rate - ventilation in,28645.0,4.0,884.0,[kg]
Mass rate - ventilation ou,127063.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,180.0,1200.0,[deg C]
Temperature - lining,-,-116.0,279.0,[deg C]
Temperature - specimen,-,-60.0,979.0,[deg C]
,,,,
Time - temperature deviation,98.0,-,-,[min]
Time - ventilation controlled,40.4,-,-,[min]
,,,,
Length - charring,38.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
