VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,156164326.0,21688.0,4067845.0,[kJ]
Heat rate - burner,126881742.0,17621.0,4067845.0,[kJ]
Heat rate - specimen comb.,29282584.0,4067.0,9430.0,[kJ]
Heat rate - vent.,-72390716.0,-10054.0,935853.0,[kJ]
Heat rate - lining,-3317487.0,-461.0,1027.0,[kJ]
Heat rate - specimen,-1420252.0,-197.0,586.0,[kJ]
Heat rate - intern. gas,-94049077.0,-13061.0,3800870.0,[kJ]
Heat rate - window,-80664.0,-11.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1941401.0,270.0,1502.0,[kW/m2]
Heat flux - average,812038.0,113.0,517.0,[kW/m2]
,,,,
Mass rate - fuel,2732.0,0.0,88.0,[kg]
Mass rate - specimen,1541.0,0.0,0.0,[kg]
Mass rate - ventilation in,49174.0,7.0,1458.0,[kg]
Mass rate - ventilation ou,211176.0,29.0,49622.0,[kg]
,,,,
Temperature - furnace,-,312.0,1200.0,[deg C]
Temperature - lining,-,-53.0,347.0,[deg C]
Temperature - specimen,-,32.0,985.0,[deg C]
,,,,
Time - temperature deviation,83.2,-,-,[min]
Time - ventilation controlled,53.7,-,-,[min]
,,,,
Length - charring,49.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
