VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,28250839.0,3923.0,635116.0,[kJ]
Heat rate - burner,19502198.0,2708.0,635116.0,[kJ]
Heat rate - specimen comb.,8748641.0,1215.0,3559.0,[kJ]
Heat rate - vent.,-13826800.0,-1920.0,146123.0,[kJ]
Heat rate - lining,-1975161.0,-274.0,730.0,[kJ]
Heat rate - specimen,-473402.0,-66.0,218.0,[kJ]
Heat rate - intern. gas,-14705631.0,-2042.0,593399.0,[kJ]
Heat rate - window,-65351.0,-9.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1625994.0,226.0,1502.0,[kW/m2]
Heat flux - average,635800.0,88.0,519.0,[kW/m2]
,,,,
Mass rate - fuel,420.0,0.0,14.0,[kg]
Mass rate - specimen,460.0,0.0,0.0,[kg]
Mass rate - ventilation in,10076.0,1.0,229.0,[kg]
Mass rate - ventilation ou,35639.0,5.0,7748.0,[kg]
,,,,
Temperature - furnace,-,210.0,1200.0,[deg C]
Temperature - lining,-,-103.0,298.0,[deg C]
Temperature - specimen,-,-37.0,985.0,[deg C]
,,,,
Time - temperature deviation,95.9,-,-,[min]
Time - ventilation controlled,43.2,-,-,[min]
,,,,
Length - charring,40.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
