VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,134329170.0,18656.0,3199483.0,[kJ]
Heat rate - burner,108284132.0,15038.0,3199483.0,[kJ]
Heat rate - specimen comb.,26045038.0,3617.0,5593.0,[kJ]
Heat rate - vent.,-62954002.0,-8743.0,736077.0,[kJ]
Heat rate - lining,-4832634.0,-671.0,1193.0,[kJ]
Heat rate - specimen,-1143824.0,-159.0,347.0,[kJ]
Heat rate - intern. gas,-74026816.0,-10281.0,2989488.0,[kJ]
Heat rate - window,-128377.0,-18.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,3055167.0,424.0,1502.0,[kW/m2]
Heat flux - average,1502287.0,209.0,550.0,[kW/m2]
,,,,
Mass rate - fuel,2331.0,0.0,69.0,[kg]
Mass rate - specimen,1371.0,0.0,0.0,[kg]
Mass rate - ventilation in,44328.0,6.0,1147.0,[kg]
Mass rate - ventilation ou,171965.0,24.0,39029.0,[kg]
,,,,
Temperature - furnace,-,623.0,1200.0,[deg C]
Temperature - lining,-,113.0,445.0,[deg C]
Temperature - specimen,-,258.0,987.0,[deg C]
,,,,
Time - temperature deviation,53.0,-,-,[min]
Time - ventilation controlled,84.0,-,-,[min]
,,,,
Length - charring,71.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
