VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,27738055.0,3852.0,635116.0,[kJ]
Heat rate - burner,18248387.0,2534.0,635116.0,[kJ]
Heat rate - specimen comb.,9489668.0,1318.0,4344.0,[kJ]
Heat rate - vent.,-13111196.0,-1821.0,146123.0,[kJ]
Heat rate - lining,-1657379.0,-230.0,693.0,[kJ]
Heat rate - specimen,-547673.0,-76.0,270.0,[kJ]
Heat rate - intern. gas,-14711681.0,-2043.0,593399.0,[kJ]
Heat rate - window,-56806.0,-8.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1424158.0,198.0,1502.0,[kW/m2]
Heat flux - average,549609.0,76.0,509.0,[kW/m2]
,,,,
Mass rate - fuel,393.0,0.0,14.0,[kg]
Mass rate - specimen,499.0,0.0,0.0,[kg]
Mass rate - ventilation in,9284.0,1.0,229.0,[kg]
Mass rate - ventilation ou,34893.0,5.0,7748.0,[kg]
,,,,
Temperature - furnace,-,154.0,1200.0,[deg C]
Temperature - lining,-,-128.0,266.0,[deg C]
Temperature - specimen,-,-75.0,980.0,[deg C]
,,,,
Time - temperature deviation,104.1,-,-,[min]
Time - ventilation controlled,37.5,-,-,[min]
,,,,
Length - charring,36.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
