VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,202872245.0,28175.0,5080628.0,[kJ]
Heat rate - burner,167868694.0,23313.0,5080628.0,[kJ]
Heat rate - specimen comb.,35003551.0,4861.0,8481.0,[kJ]
Heat rate - vent.,-94106187.0,-13069.0,1168852.0,[kJ]
Heat rate - lining,-4663271.0,-648.0,1239.0,[kJ]
Heat rate - specimen,-1552474.0,-216.0,526.0,[kJ]
Heat rate - intern. gas,-117504664.0,-16319.0,4747196.0,[kJ]
Heat rate - window,-109909.0,-15.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,2599227.0,361.0,1502.0,[kW/m2]
Heat flux - average,1232314.0,171.0,528.0,[kW/m2]
,,,,
Mass rate - fuel,3614.0,1.0,109.0,[kg]
Mass rate - specimen,1842.0,0.0,0.0,[kg]
Mass rate - ventilation in,65042.0,9.0,1821.0,[kg]
Mass rate - ventilation ou,267306.0,37.0,61977.0,[kg]
,,,,
Temperature - furnace,-,511.0,1200.0,[deg C]
Temperature - lining,-,52.0,416.0,[deg C]
Temperature - specimen,-,174.0,985.0,[deg C]
,,,,
Time - temperature deviation,64.5,-,-,[min]
Time - ventilation controlled,73.4,-,-,[min]
,,,,
Length - charring,63.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
