VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,153258512.0,21284.0,4067845.0,[kJ]
Heat rate - burner,125328621.0,17406.0,4067845.0,[kJ]
Heat rate - specimen comb.,27929891.0,3879.0,10179.0,[kJ]
Heat rate - vent.,-71306712.0,-9903.0,935853.0,[kJ]
Heat rate - lining,-2910708.0,-404.0,1038.0,[kJ]
Heat rate - specimen,-1385036.0,-192.0,627.0,[kJ]
Heat rate - intern. gas,-94037820.0,-13060.0,3800870.0,[kJ]
Heat rate - window,-68012.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1614284.0,224.0,1501.0,[kW/m2]
Heat flux - average,668447.0,93.0,475.0,[kW/m2]
,,,,
Mass rate - fuel,2698.0,0.0,88.0,[kg]
Mass rate - specimen,1470.0,0.0,1.0,[kg]
Mass rate - ventilation in,48256.0,7.0,1458.0,[kg]
Mass rate - ventilation ou,210164.0,29.0,49622.0,[kg]
,,,,
Temperature - furnace,-,247.0,1200.0,[deg C]
Temperature - lining,-,-83.0,312.0,[deg C]
Temperature - specimen,-,-18.0,979.0,[deg C]
,,,,
Time - temperature deviation,86.6,-,-,[min]
Time - ventilation controlled,47.6,-,-,[min]
,,,,
Length - charring,44.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
