VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,53987420.0,7498.0,1349808.0,[kJ]
Heat rate - burner,40660379.0,5647.0,1349808.0,[kJ]
Heat rate - specimen comb.,13327040.0,1851.0,5534.0,[kJ]
Heat rate - vent.,-25386786.0,-3526.0,310544.0,[kJ]
Heat rate - lining,-2262719.0,-314.0,879.0,[kJ]
Heat rate - specimen,-710691.0,-99.0,338.0,[kJ]
Heat rate - intern. gas,-31230182.0,-4337.0,1261190.0,[kJ]
Heat rate - window,-61794.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1500274.0,208.0,1502.0,[kW/m2]
Heat flux - average,592970.0,82.0,488.0,[kW/m2]
,,,,
Mass rate - fuel,875.0,0.0,29.0,[kg]
Mass rate - specimen,701.0,0.0,0.0,[kg]
Mass rate - ventilation in,17594.0,2.0,485.0,[kg]
Mass rate - ventilation ou,71580.0,10.0,16466.0,[kg]
,,,,
Temperature - furnace,-,196.0,1200.0,[deg C]
Temperature - lining,-,-108.0,288.0,[deg C]
Temperature - specimen,-,-50.0,980.0,[deg C]
,,,,
Time - temperature deviation,94.9,-,-,[min]
Time - ventilation controlled,42.2,-,-,[min]
,,,,
Length - charring,39.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
