VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,261552509.0,36324.0,6248938.0,[kJ]
Heat rate - burner,218348832.0,30324.0,6248938.0,[kJ]
Heat rate - specimen comb.,43203677.0,6000.0,7286.0,[kJ]
Heat rate - vent.,-121410680.0,-16861.0,1437633.0,[kJ]
Heat rate - lining,-6834819.0,-949.0,1471.0,[kJ]
Heat rate - specimen,-1852560.0,-257.0,450.0,[kJ]
Heat rate - intern. gas,-144536715.0,-20073.0,5838843.0,[kJ]
Heat rate - window,-173474.0,-24.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,4134104.0,574.0,1502.0,[kW/m2]
Heat flux - average,2208246.0,307.0,590.0,[kW/m2]
,,,,
Mass rate - fuel,4701.0,1.0,135.0,[kg]
Mass rate - specimen,2274.0,0.0,0.0,[kg]
Mass rate - ventilation in,85232.0,12.0,2240.0,[kg]
Mass rate - ventilation ou,334040.0,46.0,76228.0,[kg]
,,,,
Temperature - furnace,-,884.0,1200.0,[deg C]
Temperature - lining,-,262.0,491.0,[deg C]
Temperature - specimen,-,456.0,987.0,[deg C]
,,,,
Time - temperature deviation,26.4,-,-,[min]
Time - ventilation controlled,108.5,-,-,[min]
,,,,
Length - charring,89.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
