VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,86446201.0,12006.0,1851574.0,[kJ]
Heat rate - burner,70650540.0,9812.0,1851574.0,[kJ]
Heat rate - specimen comb.,15795661.0,2194.0,2584.0,[kJ]
Heat rate - vent.,-40852852.0,-5674.0,425979.0,[kJ]
Heat rate - lining,-5209542.0,-724.0,1158.0,[kJ]
Heat rate - specimen,-647947.0,-90.0,161.0,[kJ]
Heat rate - intern. gas,-39569114.0,-5495.0,1730028.0,[kJ]
Heat rate - window,-166747.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,1521.0,0.0,40.0,[kg]
Mass rate - specimen,831.0,0.0,0.0,[kg]
Mass rate - ventilation in,32512.0,5.0,664.0,[kg]
Mass rate - ventilation ou,104642.0,15.0,22587.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,91.0,0.0,0.0,[mm]
Content - O2,713651.0,99.0,210.0,[‰ vol.]
