VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,240334964.0,33378.0,6248936.0,[kJ]
Heat rate - burner,197603548.0,27443.0,6248936.0,[kJ]
Heat rate - specimen comb.,42731416.0,5935.0,12203.0,[kJ]
Heat rate - vent.,-110656340.0,-15368.0,1437633.0,[kJ]
Heat rate - lining,-3738040.0,-519.0,1083.0,[kJ]
Heat rate - specimen,-1996915.0,-277.0,756.0,[kJ]
Heat rate - intern. gas,-144478489.0,-20065.0,5838843.0,[kJ]
Heat rate - window,-92547.0,-13.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2221239.0,308.0,1502.0,[kW/m2]
Heat flux - average,973609.0,135.0,531.0,[kW/m2]
,,,,
Mass rate - fuel,4254.0,1.0,135.0,[kg]
Mass rate - specimen,2249.0,0.0,1.0,[kg]
Mass rate - ventilation in,74950.0,10.0,2240.0,[kg]
Mass rate - ventilation ou,323681.0,45.0,76228.0,[kg]
,,,,
Temperature - furnace,-,388.0,1200.0,[deg C]
Temperature - lining,-,-15.0,380.0,[deg C]
Temperature - specimen,-,88.0,985.0,[deg C]
,,,,
Time - temperature deviation,78.7,-,-,[min]
Time - ventilation controlled,61.0,-,-,[min]
,,,,
Length - charring,54.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
