VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,165350253.0,22964.0,4067847.0,[kJ]
Heat rate - burner,135632760.0,18837.0,4067847.0,[kJ]
Heat rate - specimen comb.,29717494.0,4127.0,6967.0,[kJ]
Heat rate - vent.,-77024025.0,-10697.0,935853.0,[kJ]
Heat rate - lining,-4680284.0,-650.0,1222.0,[kJ]
Heat rate - specimen,-1310104.0,-182.0,432.0,[kJ]
Heat rate - intern. gas,-94086203.0,-13067.0,3800870.0,[kJ]
Heat rate - window,-113963.0,-16.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,2692557.0,374.0,1501.0,[kW/m2]
Heat flux - average,1297636.0,180.0,529.0,[kW/m2]
,,,,
Mass rate - fuel,2920.0,0.0,88.0,[kg]
Mass rate - specimen,1564.0,0.0,0.0,[kg]
Mass rate - ventilation in,53662.0,7.0,1458.0,[kg]
Mass rate - ventilation ou,215712.0,30.0,49622.0,[kg]
,,,,
Temperature - furnace,-,540.0,1200.0,[deg C]
Temperature - lining,-,68.0,424.0,[deg C]
Temperature - specimen,-,195.0,985.0,[deg C]
,,,,
Time - temperature deviation,60.6,-,-,[min]
Time - ventilation controlled,76.2,-,-,[min]
,,,,
Length - charring,65.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
