VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,129169395.0,17939.0,3199482.0,[kJ]
Heat rate - burner,103494050.0,14373.0,3199482.0,[kJ]
Heat rate - specimen comb.,25675344.0,3566.0,6829.0,[kJ]
Heat rate - vent.,-60050518.0,-8340.0,736077.0,[kJ]
Heat rate - lining,-3933336.0,-546.0,1095.0,[kJ]
Heat rate - specimen,-1179117.0,-164.0,425.0,[kJ]
Heat rate - intern. gas,-74014087.0,-10279.0,2989488.0,[kJ]
Heat rate - window,-99910.0,-14.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2384662.0,331.0,1502.0,[kW/m2]
Heat flux - average,1083358.0,150.0,529.0,[kW/m2]
,,,,
Mass rate - fuel,2228.0,0.0,69.0,[kg]
Mass rate - specimen,1351.0,0.0,0.0,[kg]
Mass rate - ventilation in,41561.0,6.0,1147.0,[kg]
Mass rate - ventilation ou,169163.0,23.0,39029.0,[kg]
,,,,
Temperature - furnace,-,442.0,1200.0,[deg C]
Temperature - lining,-,14.0,397.0,[deg C]
Temperature - specimen,-,125.0,985.0,[deg C]
,,,,
Time - temperature deviation,74.4,-,-,[min]
Time - ventilation controlled,66.4,-,-,[min]
,,,,
Length - charring,58.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
