VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,71912683.0,9987.0,1851571.0,[kJ]
Heat rate - burner,52667334.0,7314.0,1851571.0,[kJ]
Heat rate - specimen comb.,19245349.0,2673.0,8656.0,[kJ]
Heat rate - vent.,-32635856.0,-4532.0,425979.0,[kJ]
Heat rate - lining,-1906812.0,-265.0,784.0,[kJ]
Heat rate - specimen,-1073944.0,-149.0,526.0,[kJ]
Heat rate - intern. gas,-42842987.0,-5950.0,1730028.0,[kJ]
Heat rate - window,-58200.0,-8.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1440123.0,200.0,1502.0,[kW/m2]
Heat flux - average,557325.0,77.0,503.0,[kW/m2]
,,,,
Mass rate - fuel,1134.0,0.0,40.0,[kg]
Mass rate - specimen,1013.0,0.0,0.0,[kg]
Mass rate - ventilation in,21683.0,3.0,664.0,[kg]
Mass rate - ventilation ou,95795.0,13.0,22587.0,[kg]
,,,,
Temperature - furnace,-,164.0,1200.0,[deg C]
Temperature - lining,-,-123.0,271.0,[deg C]
Temperature - specimen,-,-69.0,980.0,[deg C]
,,,,
Time - temperature deviation,101.4,-,-,[min]
Time - ventilation controlled,38.6,-,-,[min]
,,,,
Length - charring,37.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
