VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,40228886.0,5587.0,635117.0,[kJ]
Heat rate - burner,33455431.0,4646.0,635117.0,[kJ]
Heat rate - specimen comb.,6773455.0,941.0,1076.0,[kJ]
Heat rate - vent.,-22317121.0,-3099.0,146123.0,[kJ]
Heat rate - lining,-3904092.0,-542.0,868.0,[kJ]
Heat rate - specimen,-272138.0,-38.0,68.0,[kJ]
Heat rate - intern. gas,-13570795.0,-1885.0,593399.0,[kJ]
Heat rate - window,-164740.0,-23.0,34.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,720.0,0.0,14.0,[kg]
Mass rate - specimen,356.0,0.0,0.0,[kg]
Mass rate - ventilation in,19186.0,3.0,229.0,[kg]
Mass rate - ventilation ou,44026.0,6.0,7748.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,93.0,0.0,0.0,[mm]
Content - O2,734681.0,102.0,210.0,[‰ vol.]
