VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,271826625.0,37751.0,6248942.0,[kJ]
Heat rate - burner,270190156.0,37524.0,6248942.0,[kJ]
Heat rate - specimen comb.,1636469.0,227.0,261.0,[kJ]
Heat rate - vent.,-129103228.0,-17930.0,1437633.0,[kJ]
Heat rate - lining,-9101376.0,-1264.0,2023.0,[kJ]
Heat rate - specimen,-64795.0,-9.0,16.0,[kJ]
Heat rate - intern. gas,-133388495.0,-18525.0,5838843.0,[kJ]
Heat rate - window,-168732.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,5817.0,1.0,135.0,[kg]
Mass rate - specimen,86.0,0.0,0.0,[kg]
Mass rate - ventilation in,104002.0,14.0,2240.0,[kg]
Mass rate - ventilation ou,344176.0,48.0,76228.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,94.0,0.0,0.0,[mm]
Content - O2,748669.0,104.0,210.0,[‰ vol.]
