VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,149574576.0,20773.0,3199486.0,[kJ]
Heat rate - burner,149574576.0,20773.0,3199486.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-73754952.0,-10243.0,736077.0,[kJ]
Heat rate - lining,-7354647.0,-1021.0,1634.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-68296771.0,-9485.0,2989488.0,[kJ]
Heat rate - window,-168207.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,3220.0,0.0,69.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,60789.0,8.0,1147.0,[kg]
Mass rate - ventilation ou,183707.0,26.0,39029.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,747801.0,104.0,210.0,[‰ vol.]
