VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,42113779.0,5849.0,948026.0,[kJ]
Heat rate - burner,30169582.0,4190.0,948026.0,[kJ]
Heat rate - specimen comb.,11944197.0,1659.0,3681.0,[kJ]
Heat rate - vent.,-20374462.0,-2830.0,218110.0,[kJ]
Heat rate - lining,-2658911.0,-369.0,795.0,[kJ]
Heat rate - specimen,-590329.0,-82.0,232.0,[kJ]
Heat rate - intern. gas,-21948918.0,-3048.0,885774.0,[kJ]
Heat rate - window,-86177.0,-12.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2113113.0,293.0,1502.0,[kW/m2]
Heat flux - average,900299.0,125.0,539.0,[kW/m2]
,,,,
Mass rate - fuel,650.0,0.0,20.0,[kg]
Mass rate - specimen,629.0,0.0,0.0,[kg]
Mass rate - ventilation in,14696.0,2.0,341.0,[kg]
Mass rate - ventilation ou,52783.0,7.0,11565.0,[kg]
,,,,
Temperature - furnace,-,345.0,1200.0,[deg C]
Temperature - lining,-,-38.0,365.0,[deg C]
Temperature - specimen,-,60.0,985.0,[deg C]
,,,,
Time - temperature deviation,85.3,-,-,[min]
Time - ventilation controlled,56.5,-,-,[min]
,,,,
Length - charring,50.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
