VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,184767443.0,25661.0,4067850.0,[kJ]
Heat rate - burner,184767443.0,25661.0,4067850.0,[kJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[kJ]
Heat rate - vent.,-89799991.0,-12472.0,935853.0,[kJ]
Heat rate - lining,-7967534.0,-1107.0,1771.0,[kJ]
Heat rate - specimen,0.0,0.0,0.0,[kJ]
Heat rate - intern. gas,-86831486.0,-12059.0,3800870.0,[kJ]
Heat rate - window,-168432.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,3978.0,1.0,88.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,73397.0,10.0,1458.0,[kg]
Mass rate - ventilation ou,229676.0,32.0,49622.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,748246.0,104.0,210.0,[‰ vol.]
