VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,72237642.0,10032.0,1851572.0,[kJ]
Heat rate - burner,55815478.0,7752.0,1851572.0,[kJ]
Heat rate - specimen comb.,16422164.0,2281.0,6690.0,[kJ]
Heat rate - vent.,-33721917.0,-4683.0,425979.0,[kJ]
Heat rate - lining,-2417310.0,-336.0,927.0,[kJ]
Heat rate - specimen,-863534.0,-120.0,408.0,[kJ]
Heat rate - intern. gas,-42829328.0,-5948.0,1730028.0,[kJ]
Heat rate - window,-62793.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1516419.0,211.0,1502.0,[kW/m2]
Heat flux - average,603194.0,84.0,485.0,[kW/m2]
,,,,
Mass rate - fuel,1202.0,0.0,40.0,[kg]
Mass rate - specimen,864.0,0.0,0.0,[kg]
Mass rate - ventilation in,23074.0,3.0,664.0,[kg]
Mass rate - ventilation ou,97009.0,13.0,22587.0,[kg]
,,,,
Temperature - furnace,-,204.0,1200.0,[deg C]
Temperature - lining,-,-104.0,291.0,[deg C]
Temperature - specimen,-,-45.0,980.0,[deg C]
,,,,
Time - temperature deviation,93.5,-,-,[min]
Time - ventilation controlled,43.0,-,-,[min]
,,,,
Length - charring,40.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
