VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,28887155.0,4012.0,635116.0,[kJ]
Heat rate - burner,19720985.0,2739.0,635116.0,[kJ]
Heat rate - specimen comb.,9166170.0,1273.0,3399.0,[kJ]
Heat rate - vent.,-14203583.0,-1973.0,146123.0,[kJ]
Heat rate - lining,-2105138.0,-292.0,704.0,[kJ]
Heat rate - specimen,-485065.0,-67.0,210.0,[kJ]
Heat rate - intern. gas,-14706837.0,-2042.0,593399.0,[kJ]
Heat rate - window,-72681.0,-10.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1816891.0,252.0,1502.0,[kW/m2]
Heat flux - average,725635.0,101.0,541.0,[kW/m2]
,,,,
Mass rate - fuel,425.0,0.0,14.0,[kg]
Mass rate - specimen,482.0,0.0,0.0,[kg]
Mass rate - ventilation in,10383.0,1.0,229.0,[kg]
Mass rate - ventilation ou,35973.0,5.0,7748.0,[kg]
,,,,
Temperature - furnace,-,251.0,1200.0,[deg C]
Temperature - lining,-,-85.0,322.0,[deg C]
Temperature - specimen,-,-5.0,985.0,[deg C]
,,,,
Time - temperature deviation,93.8,-,-,[min]
Time - ventilation controlled,47.0,-,-,[min]
,,,,
Length - charring,43.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
