VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,71935037.0,9990.0,1851572.0,[kJ]
Heat rate - burner,54581671.0,7580.0,1851572.0,[kJ]
Heat rate - specimen comb.,17353366.0,2410.0,7450.0,[kJ]
Heat rate - vent.,-33258229.0,-4619.0,425979.0,[kJ]
Heat rate - lining,-2215113.0,-308.0,879.0,[kJ]
Heat rate - specimen,-937106.0,-130.0,450.0,[kJ]
Heat rate - intern. gas,-42831251.0,-5948.0,1730028.0,[kJ]
Heat rate - window,-60550.0,-8.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1476187.0,205.0,1502.0,[kW/m2]
Heat flux - average,578042.0,80.0,493.0,[kW/m2]
,,,,
Mass rate - fuel,1175.0,0.0,40.0,[kg]
Mass rate - specimen,913.0,0.0,0.0,[kg]
Mass rate - ventilation in,22502.0,3.0,664.0,[kg]
Mass rate - ventilation ou,96495.0,13.0,22587.0,[kg]
,,,,
Temperature - furnace,-,184.0,1200.0,[deg C]
Temperature - lining,-,-114.0,281.0,[deg C]
Temperature - specimen,-,-57.0,980.0,[deg C]
,,,,
Time - temperature deviation,97.1,-,-,[min]
Time - ventilation controlled,40.9,-,-,[min]
,,,,
Length - charring,39.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
