VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,30056434.0,4174.0,635116.0,[kJ]
Heat rate - burner,20303823.0,2820.0,635116.0,[kJ]
Heat rate - specimen comb.,9752612.0,1354.0,3087.0,[kJ]
Heat rate - vent.,-14948810.0,-2076.0,146123.0,[kJ]
Heat rate - lining,-2328869.0,-323.0,706.0,[kJ]
Heat rate - specimen,-490915.0,-68.0,195.0,[kJ]
Heat rate - intern. gas,-14710738.0,-2043.0,593399.0,[kJ]
Heat rate - window,-83755.0,-12.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,2075783.0,288.0,1502.0,[kW/m2]
Heat flux - average,875683.0,122.0,543.0,[kW/m2]
,,,,
Mass rate - fuel,437.0,0.0,14.0,[kg]
Mass rate - specimen,513.0,0.0,0.0,[kg]
Mass rate - ventilation in,11058.0,2.0,229.0,[kg]
Mass rate - ventilation ou,36688.0,5.0,7748.0,[kg]
,,,,
Temperature - furnace,-,329.0,1200.0,[deg C]
Temperature - lining,-,-46.0,360.0,[deg C]
Temperature - specimen,-,49.0,985.0,[deg C]
,,,,
Time - temperature deviation,88.0,-,-,[min]
Time - ventilation controlled,54.8,-,-,[min]
,,,,
Length - charring,49.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
