VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,177607722.0,24666.0,4067849.0,[kJ]
Heat rate - burner,163639638.0,22726.0,4067849.0,[kJ]
Heat rate - specimen comb.,13968084.0,1940.0,2255.0,[kJ]
Heat rate - vent.,-82835889.0,-11504.0,935853.0,[kJ]
Heat rate - lining,-7170781.0,-996.0,1594.0,[kJ]
Heat rate - specimen,-561554.0,-78.0,139.0,[kJ]
Heat rate - intern. gas,-86871372.0,-12065.0,3800870.0,[kJ]
Heat rate - window,-168128.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,3523.0,0.0,88.0,[kg]
Mass rate - specimen,735.0,0.0,0.0,[kg]
Mass rate - ventilation in,65828.0,9.0,1458.0,[kg]
Mass rate - ventilation ou,222983.0,31.0,49622.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,93.0,0.0,0.0,[mm]
Content - O2,733695.0,102.0,210.0,[‰ vol.]
