VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,247272058.0,34341.0,6248937.0,[kJ]
Heat rate - burner,206338007.0,28656.0,6248937.0,[kJ]
Heat rate - specimen comb.,40934051.0,5685.0,9877.0,[kJ]
Heat rate - vent.,-114463823.0,-15897.0,1437633.0,[kJ]
Heat rate - lining,-4772314.0,-663.0,1267.0,[kJ]
Heat rate - specimen,-1809451.0,-251.0,611.0,[kJ]
Heat rate - intern. gas,-144499945.0,-20068.0,5838843.0,[kJ]
Heat rate - window,-110283.0,-15.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,2605883.0,362.0,1502.0,[kW/m2]
Heat flux - average,1237320.0,172.0,528.0,[kW/m2]
,,,,
Mass rate - fuel,4442.0,1.0,135.0,[kg]
Mass rate - specimen,2154.0,0.0,1.0,[kg]
Mass rate - ventilation in,78838.0,11.0,2240.0,[kg]
Mass rate - ventilation ou,327472.0,45.0,76228.0,[kg]
,,,,
Temperature - furnace,-,514.0,1200.0,[deg C]
Temperature - lining,-,53.0,417.0,[deg C]
Temperature - specimen,-,176.0,985.0,[deg C]
,,,,
Time - temperature deviation,64.2,-,-,[min]
Time - ventilation controlled,73.6,-,-,[min]
,,,,
Length - charring,64.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
