VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,125025479.0,17363.0,3199482.0,[kJ]
Heat rate - burner,100020680.0,13891.0,3199482.0,[kJ]
Heat rate - specimen comb.,25004799.0,3473.0,7857.0,[kJ]
Heat rate - vent.,-58016935.0,-8057.0,736077.0,[kJ]
Heat rate - lining,-3327552.0,-462.0,1013.0,[kJ]
Heat rate - specimen,-1213475.0,-169.0,489.0,[kJ]
Heat rate - intern. gas,-73990469.0,-10276.0,2989488.0,[kJ]
Heat rate - window,-83674.0,-12.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2021228.0,281.0,1502.0,[kW/m2]
Heat flux - average,850964.0,118.0,527.0,[kW/m2]
,,,,
Mass rate - fuel,2153.0,0.0,69.0,[kg]
Mass rate - specimen,1316.0,0.0,0.0,[kg]
Mass rate - ventilation in,39633.0,6.0,1147.0,[kg]
Mass rate - ventilation ou,167182.0,23.0,39029.0,[kg]
,,,,
Temperature - furnace,-,328.0,1200.0,[deg C]
Temperature - lining,-,-46.0,356.0,[deg C]
Temperature - specimen,-,45.0,985.0,[deg C]
,,,,
Time - temperature deviation,83.3,-,-,[min]
Time - ventilation controlled,55.0,-,-,[min]
,,,,
Length - charring,50.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
