VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,170825700.0,23724.0,4067847.0,[kJ]
Heat rate - burner,139569838.0,19383.0,4067847.0,[kJ]
Heat rate - specimen comb.,31255863.0,4341.0,6071.0,[kJ]
Heat rate - vent.,-79765807.0,-11078.0,935853.0,[kJ]
Heat rate - lining,-5542858.0,-770.0,1293.0,[kJ]
Heat rate - specimen,-1355945.0,-188.0,376.0,[kJ]
Heat rate - intern. gas,-94109651.0,-13070.0,3800870.0,[kJ]
Heat rate - window,-145484.0,-20.0,53.0,[kJ]
,,,,
Heat flux - instantaneous,3464007.0,481.0,1502.0,[kW/m2]
Heat flux - average,1762020.0,245.0,567.0,[kW/m2]
,,,,
Mass rate - fuel,3005.0,0.0,88.0,[kg]
Mass rate - specimen,1645.0,0.0,0.0,[kg]
Mass rate - ventilation in,56104.0,8.0,1458.0,[kg]
Mass rate - ventilation ou,218267.0,30.0,49622.0,[kg]
,,,,
Temperature - furnace,-,723.0,1200.0,[deg C]
Temperature - lining,-,169.0,466.0,[deg C]
Temperature - specimen,-,333.0,987.0,[deg C]
,,,,
Time - temperature deviation,42.9,-,-,[min]
Time - ventilation controlled,93.4,-,-,[min]
,,,,
Length - charring,78.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
