VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,92856700.0,12896.0,1851575.0,[kJ]
Heat rate - burner,89605738.0,12445.0,1851575.0,[kJ]
Heat rate - specimen comb.,3250962.0,452.0,518.0,[kJ]
Heat rate - vent.,-47081299.0,-6539.0,425979.0,[kJ]
Heat rate - lining,-5945006.0,-826.0,1321.0,[kJ]
Heat rate - specimen,-129589.0,-18.0,32.0,[kJ]
Heat rate - intern. gas,-39533394.0,-5490.0,1730028.0,[kJ]
Heat rate - window,-167411.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,1929.0,0.0,40.0,[kg]
Mass rate - specimen,171.0,0.0,0.0,[kg]
Mass rate - ventilation in,39303.0,5.0,664.0,[kg]
Mass rate - ventilation ou,110644.0,15.0,22587.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,94.0,0.0,0.0,[mm]
Content - O2,742155.0,103.0,210.0,[‰ vol.]
