VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,55473316.0,7704.0,1349808.0,[kJ]
Heat rate - burner,41852398.0,5812.0,1349808.0,[kJ]
Heat rate - specimen comb.,13620919.0,1892.0,4830.0,[kJ]
Heat rate - vent.,-26279500.0,-3650.0,310544.0,[kJ]
Heat rate - lining,-2623530.0,-364.0,859.0,[kJ]
Heat rate - specimen,-694377.0,-96.0,299.0,[kJ]
Heat rate - intern. gas,-31230706.0,-4337.0,1261190.0,[kJ]
Heat rate - window,-74231.0,-10.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1813528.0,252.0,1502.0,[kW/m2]
Heat flux - average,734264.0,102.0,521.0,[kW/m2]
,,,,
Mass rate - fuel,901.0,0.0,29.0,[kg]
Mass rate - specimen,717.0,0.0,0.0,[kg]
Mass rate - ventilation in,18436.0,3.0,485.0,[kg]
Mass rate - ventilation ou,72443.0,10.0,16466.0,[kg]
,,,,
Temperature - furnace,-,268.0,1200.0,[deg C]
Temperature - lining,-,-75.0,327.0,[deg C]
Temperature - specimen,-,3.0,985.0,[deg C]
,,,,
Time - temperature deviation,88.9,-,-,[min]
Time - ventilation controlled,49.1,-,-,[min]
,,,,
Length - charring,45.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
