VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,71877731.0,9982.0,1851571.0,[kJ]
Heat rate - burner,54004819.0,7500.0,1851571.0,[kJ]
Heat rate - specimen comb.,17872912.0,2482.0,7808.0,[kJ]
Heat rate - vent.,-33059657.0,-4591.0,425979.0,[kJ]
Heat rate - lining,-2122757.0,-295.0,853.0,[kJ]
Heat rate - specimen,-975412.0,-135.0,472.0,[kJ]
Heat rate - intern. gas,-42832009.0,-5948.0,1730028.0,[kJ]
Heat rate - window,-59735.0,-8.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,1462533.0,203.0,1501.0,[kW/m2]
Heat flux - average,570025.0,79.0,496.0,[kW/m2]
,,,,
Mass rate - fuel,1163.0,0.0,40.0,[kg]
Mass rate - specimen,941.0,0.0,0.0,[kg]
Mass rate - ventilation in,22249.0,3.0,664.0,[kg]
Mass rate - ventilation ou,96274.0,13.0,22587.0,[kg]
,,,,
Temperature - furnace,-,177.0,1200.0,[deg C]
Temperature - lining,-,-117.0,278.0,[deg C]
Temperature - specimen,-,-62.0,979.0,[deg C]
,,,,
Time - temperature deviation,98.5,-,-,[min]
Time - ventilation controlled,40.1,-,-,[min]
,,,,
Length - charring,38.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
