VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,36376680.0,5052.0,635117.0,[kJ]
Heat rate - burner,21957398.0,3049.0,635117.0,[kJ]
Heat rate - specimen comb.,14419282.0,2003.0,2616.0,[kJ]
Heat rate - vent.,-19132719.0,-2657.0,146123.0,[kJ]
Heat rate - lining,-3414691.0,-474.0,744.0,[kJ]
Heat rate - specimen,-665430.0,-92.0,174.0,[kJ]
Heat rate - intern. gas,-14725392.0,-2045.0,593399.0,[kJ]
Heat rate - window,-167189.0,-23.0,51.0,[kJ]
,,,,
Heat flux - instantaneous,4194455.0,583.0,1502.0,[kW/m2]
Heat flux - average,2069259.0,287.0,637.0,[kW/m2]
,,,,
Mass rate - fuel,473.0,0.0,14.0,[kg]
Mass rate - specimen,759.0,0.0,0.0,[kg]
Mass rate - ventilation in,14444.0,2.0,229.0,[kg]
Mass rate - ventilation ou,40389.0,6.0,7748.0,[kg]
,,,,
Temperature - furnace,-,822.0,1200.0,[deg C]
Temperature - lining,-,220.0,498.0,[deg C]
Temperature - specimen,-,421.0,990.0,[deg C]
,,,,
Time - temperature deviation,48.5,-,-,[min]
Time - ventilation controlled,101.3,-,-,[min]
,,,,
Length - charring,82.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
