VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,94094399.0,13068.0,2464426.0,[kJ]
Heat rate - burner,73121004.0,10155.0,2464426.0,[kJ]
Heat rate - specimen comb.,20973396.0,2913.0,8800.0,[kJ]
Heat rate - vent.,-43437521.0,-6033.0,566971.0,[kJ]
Heat rate - lining,-2333399.0,-324.0,911.0,[kJ]
Heat rate - specimen,-1114041.0,-155.0,531.0,[kJ]
Heat rate - intern. gas,-56995492.0,-7915.0,2302667.0,[kJ]
Heat rate - window,-61631.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1494727.0,208.0,1502.0,[kW/m2]
Heat flux - average,589460.0,82.0,489.0,[kW/m2]
,,,,
Mass rate - fuel,1574.0,0.0,53.0,[kg]
Mass rate - specimen,1104.0,0.0,0.0,[kg]
Mass rate - ventilation in,29206.0,4.0,884.0,[kg]
Mass rate - ventilation ou,127554.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,193.0,1200.0,[deg C]
Temperature - lining,-,-109.0,286.0,[deg C]
Temperature - specimen,-,-52.0,980.0,[deg C]
,,,,
Time - temperature deviation,95.4,-,-,[min]
Time - ventilation controlled,41.9,-,-,[min]
,,,,
Length - charring,39.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
