VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,153946968.0,21380.0,4067845.0,[kJ]
Heat rate - burner,126361807.0,17549.0,4067845.0,[kJ]
Heat rate - specimen comb.,27585161.0,3831.0,9651.0,[kJ]
Heat rate - vent.,-71743183.0,-9964.0,935853.0,[kJ]
Heat rate - lining,-3071804.0,-427.0,1056.0,[kJ]
Heat rate - specimen,-1348680.0,-187.0,600.0,[kJ]
Heat rate - intern. gas,-94046206.0,-13061.0,3800870.0,[kJ]
Heat rate - window,-70475.0,-10.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1668610.0,232.0,1502.0,[kW/m2]
Heat flux - average,698925.0,97.0,476.0,[kW/m2]
,,,,
Mass rate - fuel,2720.0,0.0,88.0,[kg]
Mass rate - specimen,1452.0,0.0,1.0,[kg]
Mass rate - ventilation in,48731.0,7.0,1458.0,[kg]
Mass rate - ventilation ou,210623.0,29.0,49622.0,[kg]
,,,,
Temperature - furnace,-,264.0,1200.0,[deg C]
Temperature - lining,-,-74.0,320.0,[deg C]
Temperature - specimen,-,-7.0,982.0,[deg C]
,,,,
Time - temperature deviation,84.4,-,-,[min]
Time - ventilation controlled,49.4,-,-,[min]
,,,,
Length - charring,45.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
