VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,102128267.0,14183.0,2464428.0,[kJ]
Heat rate - burner,80808248.0,11223.0,2464428.0,[kJ]
Heat rate - specimen comb.,21320019.0,2961.0,5492.0,[kJ]
Heat rate - vent.,-47906105.0,-6653.0,566971.0,[kJ]
Heat rate - lining,-3887477.0,-540.0,1064.0,[kJ]
Heat rate - specimen,-971404.0,-135.0,342.0,[kJ]
Heat rate - intern. gas,-57022460.0,-7919.0,2302667.0,[kJ]
Heat rate - window,-103196.0,-14.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2460173.0,342.0,1502.0,[kW/m2]
Heat flux - average,1135856.0,158.0,528.0,[kW/m2]
,,,,
Mass rate - fuel,1740.0,0.0,53.0,[kg]
Mass rate - specimen,1122.0,0.0,0.0,[kg]
Mass rate - ventilation in,33586.0,5.0,884.0,[kg]
Mass rate - ventilation ou,131975.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,467.0,1200.0,[deg C]
Temperature - lining,-,28.0,405.0,[deg C]
Temperature - specimen,-,143.0,985.0,[deg C]
,,,,
Time - temperature deviation,70.6,-,-,[min]
Time - ventilation controlled,69.0,-,-,[min]
,,,,
Length - charring,60.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
