VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,94492142.0,13123.0,2464427.0,[kJ]
Heat rate - burner,74544935.0,10353.0,2464427.0,[kJ]
Heat rate - specimen comb.,19947207.0,2770.0,7942.0,[kJ]
Heat rate - vent.,-43951257.0,-6104.0,566971.0,[kJ]
Heat rate - lining,-2553382.0,-355.0,964.0,[kJ]
Heat rate - specimen,-1033310.0,-144.0,484.0,[kJ]
Heat rate - intern. gas,-56987197.0,-7914.0,2302667.0,[kJ]
Heat rate - window,-63869.0,-9.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,1534773.0,213.0,1501.0,[kW/m2]
Heat flux - average,615554.0,85.0,482.0,[kW/m2]
,,,,
Mass rate - fuel,1605.0,0.0,53.0,[kg]
Mass rate - specimen,1050.0,0.0,0.0,[kg]
Mass rate - ventilation in,29843.0,4.0,884.0,[kg]
Mass rate - ventilation ou,128123.0,18.0,30063.0,[kg]
,,,,
Temperature - furnace,-,213.0,1200.0,[deg C]
Temperature - lining,-,-100.0,296.0,[deg C]
Temperature - specimen,-,-40.0,979.0,[deg C]
,,,,
Time - temperature deviation,92.0,-,-,[min]
Time - ventilation controlled,44.0,-,-,[min]
,,,,
Length - charring,41.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
