VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,23687420.0,3290.0,635115.0,[kJ]
Heat rate - burner,16983002.0,2359.0,635115.0,[kJ]
Heat rate - specimen comb.,6704419.0,931.0,6279.0,[kJ]
Heat rate - vent.,-11332914.0,-1574.0,146123.0,[kJ]
Heat rate - lining,-1040740.0,-145.0,843.0,[kJ]
Heat rate - specimen,-497358.0,-69.0,514.0,[kJ]
Heat rate - intern. gas,-14682166.0,-2039.0,593399.0,[kJ]
Heat rate - window,-30031.0,-4.0,50.0,[kJ]
,,,,
Heat flux - instantaneous,759659.0,106.0,1502.0,[kW/m2]
Heat flux - average,244975.0,34.0,425.0,[kW/m2]
,,,,
Mass rate - fuel,366.0,0.0,14.0,[kg]
Mass rate - specimen,353.0,0.0,0.0,[kg]
Mass rate - ventilation in,7799.0,1.0,229.0,[kg]
Mass rate - ventilation ou,33221.0,5.0,7748.0,[kg]
,,,,
Temperature - furnace,-,-20.0,1200.0,[deg C]
Temperature - lining,-,-195.0,136.0,[deg C]
Temperature - specimen,-,-192.0,549.0,[deg C]
,,,,
Time - temperature deviation,107.6,-,-,[min]
Time - ventilation controlled,20.3,-,-,[min]
,,,,
Length - charring,23.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
