VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,44613054.0,6196.0,948026.0,[kJ]
Heat rate - burner,31525697.0,4378.0,948026.0,[kJ]
Heat rate - specimen comb.,13087358.0,1818.0,3275.0,[kJ]
Heat rate - vent.,-21925019.0,-3045.0,218110.0,[kJ]
Heat rate - lining,-3117710.0,-433.0,828.0,[kJ]
Heat rate - specimen,-611139.0,-85.0,206.0,[kJ]
Heat rate - intern. gas,-21957272.0,-3049.0,885774.0,[kJ]
Heat rate - window,-109547.0,-15.0,52.0,[kJ]
,,,,
Heat flux - instantaneous,2675242.0,372.0,1502.0,[kW/m2]
Heat flux - average,1220771.0,170.0,556.0,[kW/m2]
,,,,
Mass rate - fuel,679.0,0.0,20.0,[kg]
Mass rate - specimen,689.0,0.0,0.0,[kg]
Mass rate - ventilation in,16078.0,2.0,341.0,[kg]
Mass rate - ventilation ou,54244.0,8.0,11565.0,[kg]
,,,,
Temperature - furnace,-,498.0,1200.0,[deg C]
Temperature - lining,-,42.0,419.0,[deg C]
Temperature - specimen,-,170.0,987.0,[deg C]
,,,,
Time - temperature deviation,71.4,-,-,[min]
Time - ventilation controlled,71.5,-,-,[min]
,,,,
Length - charring,61.0,0.0,0.0,[mm]
Content - O2,nan,nan,nan,[‰ vol.]
